0:0:0:0:0:0:0:1 - - [11/Jun/2023:12:58:19 +0530] "GET /Project4/ctl/UserListCtl HTTP/1.1" 200 9956
0:0:0:0:0:0:0:1 - - [11/Jun/2023:12:58:19 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [11/Jun/2023:14:53:27 +0530] "GET /Project4/ctl/UserListCtl HTTP/1.1" 200 3145
0:0:0:0:0:0:0:1 - - [11/Jun/2023:14:53:35 +0530] "POST /Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Jun/2023:14:53:35 +0530] "GET /Project4/ctl/UserListCtl HTTP/1.1" 200 9956
0:0:0:0:0:0:0:1 - - [11/Jun/2023:14:53:35 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [11/Jun/2023:14:53:37 +0530] "GET /Project4/ctl/UserListCtl HTTP/1.1" 200 9956
0:0:0:0:0:0:0:1 - - [11/Jun/2023:14:53:37 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
127.0.0.1 - - [11/Jun/2023:21:28:47 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [11/Jun/2023:21:28:49 +0530] "GET /Project4/ HTTP/1.1" 200 319
0:0:0:0:0:0:0:1 - - [11/Jun/2023:21:29:24 +0530] "GET /Project4/WelcomeCtl HTTP/1.1" 200 1554
0:0:0:0:0:0:0:1 - - [11/Jun/2023:21:29:27 +0530] "GET /Project4/LoginCtl HTTP/1.1" 200 3072
0:0:0:0:0:0:0:1 - - [11/Jun/2023:21:29:37 +0530] "POST /Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Jun/2023:21:29:37 +0530] "GET /Project4/WelcomeCtl HTTP/1.1" 200 3329
0:0:0:0:0:0:0:1 - - [11/Jun/2023:21:56:41 +0530] "GET /Project4/ctl/UserListCtl HTTP/1.1" 200 9956
0:0:0:0:0:0:0:1 - - [11/Jun/2023:21:56:41 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
